filename,price,area,room_type,location,utilities,gender_requirement,contact,notes,bedrooms,bathrooms
p95-l2_20250404-160805,87 tr,117 m,,quận 1,,không yêu cầu,,gần đại học văn lang;gần nhất:  trạm cống quỳnh: cách khoảng 117 mét;gần 87 trần đình xu:  cửa hàng tiện lợi: circle k tại 131 trần đình xu;gần đường trần đình xu,,
p95-l5_20250404-160805,4k,,,q5,,không yêu cầu,,,,
p96-l13_20250404-160805,", k",,phòng trọ,quận 5,ban công;gác lửng,không yêu cầu,,gần chợ an đông phòng trọ gần đại học sư phạm tphcm cho thuê ký túc xá gần trường đại học sư phạm tphcm giá rẻ phòng trọ có gác lửng quận 5 phòng trọ đường nguyễn trãi,,
p96-l18_20250404-160805,,,phòng trọ,quận 6,,không yêu cầu,,,1.0,
p97-l14_20250404-160805,", k",,,quận 10,,không yêu cầu,,gần khu chợ,,
p97-l17_20250404-160805,", k",,,,máy lạnh;tủ lạnh,không yêu cầu,,,,
p97-l7_20250404-160805,20tr,,,,,không yêu cầu,,,,
p97-l8_20250404-160805,4k,,,q8,,nam,,,,
p98-l7_20250404-160805,", tr",,chung cư mini,quận 1,,không yêu cầu,,gần siêu thị,1.0,
p99-l14_20250404-160805,,,,,ban công,không yêu cầu,,,,
p99-l18_20250404-160805,,,,quận 5,,không yêu cầu,,,,
